"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
10002,"מלט אפור 25 ק""ג",מליטה וצמנט,שק,"מלט, מלט אפור, שק מלט, צמנט, נשר",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
10001,"מלט לבן 25 ק""ג",מליטה וצמנט,שק,"מלט לבן, צמנט לבן",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
10011,"בטון מוכן 25 ק""ג",מליטה וצמנט,שק,"בטון מוכן, שק בטון, בטון מהיר",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11500,חול שק,חומרי מחצבה בשקים,שק,"שק חול, חול בניין, חול ים",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11510,סומסום שק,חומרי מחצבה בשקים,שק,"שק סומסום, סומסום לריצוף, חצץ דק",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11550,טיט מוכן שק,חומרי מחצבה בשקים,שק,"טיט שק, טיט לריצוף, טיט לבנייה",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11505,חצץ שק,חומרי מחצבה בשקים,שק,"חצץ שק, חצץ רגיל",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14075,"טיח גבס MP75 שק 25 ק""ג",טיח וציפויים,שק,"MP75, אמפי 75, טיח גבס למכונה",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14400,"טיח תרמי 400 23 ק""ג",טיח וציפויים,שק,"תרמוקיר 400, טיח תרמי, תרמוקיר 23",משטח סבן (40 שקים),23,🏭 4️⃣(החרש),חכמת / עלי
14603,"פלסטומר AD603 אפור 25 ק""ג",דבקים ומליטה,שק,"דבק 603, פלסטומר 603, אד 603",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),עלי (פתוחה)
15181,"ריצופית אפור 181 25 ק""ג",דבקים ומליטה,שק,"ריצופית 181, טיט ריצוף 181",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14104,"טיח בריכות PL102S 25 ק""ג",טיח מיוחד,שק,"טיח בריכות, תרמוקיר 102",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
15770,"טיח ממ""ד רב תכליתי 25 ק""ג",טיח מיוחד,שק,"טיח ממד, טיח הדף, טיח הגנה",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11501,חול שק גדול,שקים גדולים (בלות),שק גד,"בלה חול, חול בלה, שק גדול חול","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11511,סומסום שק גדול,שקים גדולים (בלות),שק גד,"בלה סומסום, סומסום בלה, שק גדול סומסום","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11551,טיט מוכן שק גדול,שקים גדולים (בלות),שק גד,"בלה טיט, טיט בלה, שק גדול טיט","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11506,חצץ שק גדול,שקים גדולים (בלות),שק גד,"בלה חצץ, חצץ בלה, שק גדול חצץ","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11540,מצע שק גדול,שקים גדולים (בלות),שק גד,"בלה מצע, מצע מהודק בלה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11570,חמרה שק גדול,שקים גדולים (בלות),שק גד,"בלה חמרה, אדמת חמרה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11521,שליכט שק גדול,שקים גדולים (בלות),שק גד,"בלה שליכט, שליכט בלה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
111260,לוח גבס לבן 260 ע 12.50,לוחות גבס,יח',"גבס לבן 260, לוח לבן 2.60",ללא,22,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
111200,לוח גבס לבן 200 ע 12.50,לוחות גבס,יח',"גבס לבן 200, לוח לבן 2.00",ללא,17,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112260,לוח גבס ירוק 260 ע 12.50,לוחות גבס,יח',"גבס ירוק 260, לוח ירוק עמיד לחות",ללא,24,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112200,לוח גבס ירוק 200 ע 12.50,לוחות גבס,יח',"גבס ירוק 200, לוח ירוק 2.00",ללא,19,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
113260,לוח גבס ורוד 260 ע 12.50,לוחות גבס,יח',"גבס ורוד 260, לוח עמיד אש",ללא,26,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
114260,לוח גבס כחול 260 ע 12.50,לוחות גבס,יח',"גבס כחול 260, לוח אקוסטי כבד",ללא,30,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9550300,ניצב 0.5 50/300,פרופילים ושלד,יח',"ניצב 50, ניצב חמישים, פרופיל 50",ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8550300,מסלול 0.5 50/300,פרופילים ושלד,יח',"מסלול 50, מסלול חמישים",ללא,1.5,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9570300,ניצב 0.5 70/300,פרופילים ושלד,יח',"ניצב 70, ניצב שבעים, פרופיל 70",ללא,2.1,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8570300,מסלול 0.5 70/300,פרופילים ושלד,יח',"מסלול 70, מסלול שבעים",ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
75300,ניצב אומגה תקן 300,פרופילים ושלד,יח',"אומגה, פרופיל אומגה לתקרה",ללא,1.2,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
76012,"בידוד מינרלי 24 ק""ג 12 מ""ר",בידוד ואקוסטיקה,חב',"צמר סלעים, בידוד 24, בידוד גבס",ללא,12,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
12010,בלוק בטון 10/20/40,בלוקים ומוצרי בטון,יח',"בלוק 10, בלוק עשר, בלוק מחיצה",משטח בלוקים (150 יח'),12,🏭 4️⃣(החרש),חכמת (מנוף)
12204,בלוק בטון 20/20/40 4 חורים,בלוקים ומוצרי בטון,יח',"בלוק 20, בלוק עשרים, בלוק 4 חורים",משטח בלוקים (75 יח'),18,🏭 4️⃣(החרש),חכמת (מנוף)
